Designator,Mid X,Mid Y,Rotation,Layer
R32,-105.82,63.88,0.0,top
R33,-105.82,64.84,0.0,top
R34,-105.82,66.73,0.0,top
R35,-105.82,65.79,180.0,top
R36,-10.74,16.51,270.0,top
R37,-12.77,7.93,90.0,top
R38,-34.15,2.7725,180.0,top
R39,-34.15,3.7225,0.0,top
R4,-55.36,16.6175,90.0,top
R40,-34.15,7.5225,0.0,top
R41,-34.15,6.5425,180.0,top
R42,-34.15,5.6025,0.0,top
R43,-11.74,16.5,90.0,top
R44,-32.29,6.6325,180.0,top
R45,-30.82,7.1025,90.0,top
R46,-78.93,11.7,270.0,top
R47,-132.23,87.78,180.0,top
R48,-125.9,88.44,0.0,top
R49,-132.23,89.04,0.0,top
R5,-51.5,16.64,90.0,top
R51,-77.98,11.7,270.0,top
R52,-132.2,90.24,0.0,top
R53,-11.230001,45.189996,90.0,top
R54,-126.6,66.1,0.0,top
R55,-108.0,89.08,270.0,top
R57,-22.42,21.72,90.0,top
R58,-20.54,21.72,270.0,top
R59,-3.27,28.72,0.0,top
R6,-54.39,16.6075,270.0,top
R60,-3.28,26.8,180.0,top
R68,-87.82,83.58,270.0,top
R69,-80.55,74.93,270.0,top
R7,-48.185001,14.94,90.0,top
R72,-86.79,83.58,90.0,top
R76,-22.775,45.181,90.0,top
R77,-24.604,45.189996,90.0,top
R78,-46.695,45.189996,90.0,top
R79,-47.635,45.189996,90.0,top
R8,-46.685001,14.94,90.0,top
R9,-45.685001,14.94,90.0,top
SW1,-124.1,94.59,180.0,top
SW2,-111.05,94.59,180.0,top
U1,-42.18,10.4975,270.0,top
U10,-98.71,83.4425,90.0,top
U11,-83.4,83.32,270.0,top
U12,-95.7,83.44,90.0,top
U13,-34.91,0.3725,270.0,top
U14,-10.74,12.22,90.0,top
U15,-23.2,19.065,0.0,top
U16,-6.42,26.7475,0.0,top
U2,-45.19,10.4975,270.0,top
U3,-119.550001,17.0575,270.0,top
U4,-64.749998,15.0675,270.0,top
U5,-113.530001,17.0575,270.0,top
U6,-92.935,29.539739,180.0,top
U9,-80.4,83.32,270.0,top
Y1,-99.235,29.539739,270.0,top
